,GUI-384,GUI-183
,GUI-316,GUI-115
,GUI-387,GUI-186
,GUI-222,GUI-21
,GUI-291,GUI-90
,GUI-327,GUI-126
,GUI-373,GUI-172
,GUI-369,GUI-168
,GUI-383,GUI-182
,GUI-324,GUI-123
,GUI-330,GUI-129
,GUI-259,GUI-58
,GUI-394,GUI-193
,GUI-243,GUI-42
,GUI-222,GUI-21
,GUI-338,GUI-137
,GUI-316,GUI-115
,GUI-327,GUI-126
,GUI-357,GUI-156
,GUB-371,GUB-170
,GUB-306,GUB-105
,GUB-328,GUB-127
,GUB-247,GUB-46
,GUB-258,GUB-57
,GUB-383,GUB-182
,GUB-368,GUB-167
,GUY-244,GUY-43
,GUY-209,GUY-8
,GUY-389,GUY-188
,GUY-252,GUY-51
,GUY-333,GUY-132
,GUY-369,GUY-168
,GUY-227,GUY-26
,GUY-340,GUY-139
,GUY-235,GUY-34
,HAI-202,HAI-1
,HAI-318,HAI-117
,HAI-357,HAI-156
,HAI-287,HAI-86
,HAI-290,HAI-89
,HAI-241,HAI-40
,HAI-318,HAI-117
,HAI-282,HAI-81
,HON-328,HON-127
,HON-298,HON-97
,HON-366,HON-165
,HON-220,HON-19
,HON-272,HON-71
,HON-304,HON-103
,HON-369,HON-168
,HON-341,HON-140
,HON-324,HON-123
,HON-247,HON-46
,HON-356,HON-155
,HON-365,HON-164
,HON-351,HON-150
,HON-235,HON-34
,HON-315,HON-114
,HON-344,HON-143
,HON-366,HON-165
,HON-233,HON-32
,HUN-229,HUN-28
,HUN-275,HUN-74
,HUN-396,HUN-195
,HUN-236,HUN-35
,HUN-229,HUN-28
,HUN-329,HUN-128
,HUN-205,HUN-4
,HUN-214,HUN-13
,HUN-241,HUN-40
,HUN-329,HUN-128
,HUN-318,HUN-117
,HUN-325,HUN-124
,HUN-384,HUN-183
,HUN-373,HUN-172
,HUN-391,HUN-190
,HUN-355,HUN-154
,HUN-283,HUN-82
,HUN-398,HUN-197
,HUN-205,HUN-4
,ICE-223,ICE-22
,ICE-344,ICE-143
,ICE-341,ICE-140
,ICE-211,ICE-10
,ICE-262,ICE-61
,ICE-306,ICE-105
,ICE-245,ICE-44
,ICE-266,ICE-65
,IND-283,IND-82
,IND-238,IND-37
,IND-201,IND-0
,IND-300,IND-99
,IND-269,IND-68
,IND-332,IND-131
,IND-334,IND-133
,IND-364,IND-163
,IND-300,IND-99
,IND-374,IND-173
,IND-391,IND-190
,IND-267,IND-66
,IND-291,IND-90
,IND-343,IND-142
,IND-246,IND-45
,IND-219,IND-18
,IND-349,IND-148
,IND-210,IND-9
,IND-343,IND-142
,IND-302,IND-101
,IND-322,IND-121
,IND-400,IND-199
,IND-340,IND-139
,IND-268,IND-67
,IND-328,IND-127
,IND-259,IND-58
,IND-223,IND-22
,IND-282,IND-81
,IND-293,IND-92
,IND-251,IND-50
,IND-223,IND-22
,IND-243,IND-42
,IND-299,IND-98
,IND-391,IND-190
,IND-220,IND-19
,IND-356,IND-155
,IND-380,IND-179
,IND-377,IND-176
,IND-261,IND-60
,IND-285,IND-84
,IND-222,IND-21
,IND-214,IND-13
,IND-327,IND-126
,IND-203,IND-2
,IND-385,IND-184
,IND-269,IND-68
,IND-273,IND-72
,IND-299,IND-98
,IND-354,IND-153
,IND-334,IND-133
,IND-291,IND-90
,IND-347,IND-146
,IND-301,IND-100
,IND-398,IND-197
,IND-304,IND-103
,IND-298,IND-97
,IND-287,IND-86
,IND-397,IND-196
,IND-358,IND-157
,IND-261,IND-60
,IND-261,IND-60
,IND-228,IND-27
,IND-357,IND-156
,IND-298,IND-97
,IND-240,IND-39
,IND-204,IND-3
,IND-248,IND-47
,IND-352,IND-151
,IND-340,IND-139
,IND-328,IND-127
,IND-250,IND-49
,IND-230,IND-29
,IND-378,IND-177
,IND-372,IND-171
,IND-368,IND-167
,IND-396,IND-195
,IND-230,IND-29
,IND-341,IND-140
,IND-227,IND-26
,IND-243,IND-42
,IND-224,IND-23
,IND-310,IND-109
,IND-397,IND-196
,GUI-235,GUI-34
,GUI-325,GUI-124
,GUI-369,GUI-168
,GUI-313,GUI-112
,GUI-347,GUI-146
,GUI-317,GUI-116
,GUI-330,GUI-129
,GUI-248,GUI-47
,GUI-281,GUI-80
,GUI-258,GUI-57
,GUI-287,GUI-86
,GUI-313,GUI-112
,GUI-280,GUI-79
,GUI-390,GUI-189
