City tour,Qal eh-ye,5,AFG1131
TED talk,Mariehamn,4,ALD1137
Food fest,Kruje,4,ALB1143
Cultural fest,Jijel,0,DZA1149
EDM night,Pago Pago,2,ASM1155
Food fest,Andorra,5,AND1161
Cultural fest,Mucusso,3,AGO1167
Shopping Bonanza,de Noviembre,5,ARG1173
Pool Party,Ashtarak,2,ARM1179
TED talk,Oranjestad,0,ABW1185
Food fest,Central Coast,0,AUS1191
City tour,Bregenz,3,AUT1197
Shopping Bonanza,Gadabay,4,AZE1203
City tour,Manama,2,BHR1209
Shopping Bonanza,Tangail,5,BGD1215
Jazz night,Bridgetown,0,BRB1221
TED talk,Baranavichy,0,BLR1227
q�`,Mons,4,BEL1233
Movie night,El Cayo,1,BLZ1239
Food fest,Lokossa,0,BEN1245
Movie night,Hamilton,3,BMU1251
Cultural fest,Paro,3,BTN1257
Food fest,Punata,2,BOL1263
Cultural fest,Zenica,1,BIH1269
Cultural fest,Mochudi,4,BWA1275
Cultural fest,Grajau,2,BRA1281
Pool Party,Bandar Seri Begawan,3,BRN1287
Shopping Bonanza,Lovec,1,BGR1293
Rock&Roll concert,Fada Ngourma,3,BFA1299
Food fest,Cankuzo,4,BDI1305
Food fest,Kampong Spoe,5,KHM1311
Pool Party,Buea,0,CMR1317
Jazz night,Selkirk,4,CAN1323
TED talk,Mindelo,2,CPV1329
Pool Party,George Town,4,CYM1335
EDM night,Mobaye,3,CAF1341
Shopping Bonanza,Lai,3,TCD1347
Cultural fest,Rio Verde,2,CHL1353
Jazz night,Yumen,3,CHN1359
Shopping Bonanza,Yopal,2,COL1365
Cultural fest,Moroni,5,COM1371
Cultural fest,Madingou,4,COG1377
EDM night,Buluko,2,COD1383
Cultural fest,Rarotonga,2,COK1389
Cultural fest,Heredia,4,CRI1395
Movie night,Sibenik,3,HRV1401
City tour,Ciego de Avila,1,CUB1407
Movie night,Willemstad,4,CUW1413
Pool Party,Larnaka,0,CYP1419
Cultural fest,Usti Nad Labem,5,CZE1425
Movie night,Vejle,5,DNK1431
City tour,Dikhil,0,DJI1437
Rock&Roll concert,Roseau,0,DMA1443
Food fest,Sabaneta,2,DOM1449
Movie night,Dili,0,TLS1455
Cultural fest,Puyo,5,ECU1461
Food fest,Shibin el Kom,4,EGY1467
Rock&Roll concert,Ahuachapan,3,SLV1473
Pool Party,Evinayong,3,GNQ1479
Movie night,Tessenei,0,ERI1485
Shopping Bonanza,Haapsalu,0,EST1491
TED talk,Awasa,0,ETH1497
Pool Party,Fox Bay,5,FLK1503
Cultural fest,Klaksvik,4,FRO1509
Cultural fest,Palikir,4,FSM1515
Movie night,Nandi,4,FJI1521
EDM night,Hameenlinna,4,FIN1527
Food fest,Annecy,4,FRA1533
}�`,Papeete,5,PYF1539
Rock&Roll concert,Ebebiyin,3,GAB1545
Jazz night,Kutaisi,5,GEO1551
Rock&Roll concert,Mainz,3,DEU1557
Food fest,Sunyani,5,GHA1563
EDM night,Gibraltar,2,GBR1569
p�`,Lamia,0,GRC1575
TED talk,Qasigiannguit,4,GRD1581
Shopping Bonanza,Saint George's,4,GRE1587
EDM night,Agana,2,GUM1593
TED talk,Salama,5,GUA1599
Food fest,Mali,5,GUI1605
City tour,Cacheu,5,GUB1611
Pool Party,Corriverton,5,GUY1617
n�`,Jeremie,3,HAI1623
Food fest,Yoro,3,HON1629
Cultural fest,Hong Kong,2,HKG1635
Shopping Bonanza,Veszprem,2,HUN1641
Jazz night,Borgarnes,4,ICE1647
TED talk,Panaji,3,IND1653
Jazz night,Binjai,3,INA1659
Rock&Roll concert,Yasuj,4,IRN1665
TED talk,Dahuk,0,IRQ1671
TED talk,Ros Comain,1,IRL1677
Food fest,Douglas,2,ISM1683
Pool Party,Ramla,2,ISR1689
p�`,Potenza,5,ITA1695
s�`,Touba,1,IVC1701
City tour,Lucea,1,JAM1707
TED talk,Okayama,3,JPN1713
o�`,Al Mafraq,5,JOR1719
q�`,Turgay,4,KZH1725
TED talk,Nyeri,2,KEY1731
Movie night,Tarawa,3,KIR1737
City tour,Prizren,5,KOS1743
City tour,Hawalli,2,KUW1749
Shopping Bonanza,Tokmak,3,KYG1755
TED talk,Ban Houayxay,4,LAO1761
Pool Party,Rezekne,5,LAT1767
Food fest,B'abda,2,LEB1773
Cultural fest,Teyateyaneng,1,LES1779
Jazz night,Barclayville,3,LIB1785
TED talk,Dirj,3,LBY1791
s�`,Vaduz,5,LIE1797
EDM night,Panevezys,0,LIT1803
Cultural fest,Diekirch,0,LXB1809
t�`,Macau,2,MAU1815
Pool Party,Tetovo,5,MAC1821
TED talk,Sambava,2,MAD1827
Pool Party,Mzimba,1,MAW1833
EDM night,Kangar,0,MYL1839
Pool Party,Male,4,MDL1845
m�`,Goundam,5,MAL1851
Food fest,Valletta,5,MAA1857
Cultural fest,Majuro,5,MAI1863
Movie night,Fderik,4,MAN1869
Cultural fest,Curepipe,3,MAU1875
z�`,Vicente Guerrero,0,MEX1881
Shopping Bonanza,Dubasari,3,MOD1887
Rock&Roll concert,Monaco,2,MOC1893
Shopping Bonanza,Suchboatar,2,MON1899
x�`,Podgorica,5,MOG1905
Movie night,Ksar El Kebir,0,MOR1911
Food fest,Moatize,0,MOZ1917
Jazz night,Loikaw,0,MYN1923
Movie night,Omaruru,3,NMB1929
Rock&Roll concert,Sallyan,5,NEP1935
Movie night,Assen,0,NTR1941
Food fest,Noumea,5,NCA1947
Movie night,Greymouth,2,NZL1953
Movie night,Somoto,2,NCG1959
Movie night,Goure,1,NGR1965
City tour,Umuahia,0,NIG1971
