AFG7770,MYT2312
ALD3350,APH9348
ALB6490,APH9348
DZA270,PAN4738
ASM7630,TAN7563
AND4260,BOO8423
AGO2110,MYT2312
ARG4290,BAM7523
ARM8620,APH9348
ABW1350,PUB7458
AUS220,TAN7563
AUT1670,PUB7458
AZE110,KRI8347
BHR3730,BAM7523
BGD7840,PUB7458
BRB3240,BOO8423
BLR4130,BOO8423
BEL9800,BOO8423
BLZ8620,BAM7523
BEN2810,BOO8423
BMU840,BAM7523
BTN5050,PAN4738
BOL3130,MYT2312
BIH8950,BOO8423
BWA8140,PAN4738
BRA3640,BOO8423
BRN870,PAN4738
BGR1780,BAM7523
BFA4030,PAN4738
BDI3990,APH9348
KHM6760,BOO8423
CMR120,BAM7523
CAN940,APH9348
CPV5700,BOO8423
CYM4670,MYT2312
CAF9020,APH9348
TCD6520,MYT2312
CHL2800,PAN4738
CHN8650,TAN7563
COL6190,BOO8423
COM310,BAM7523
COG7710,BOO8423
COD7090,BOO8423
COK8560,BAM7523
CRI5860,TAN7563
HRV6830,APH9348
CUB5280,PAN4738
CUW8290,TAN7563
CYP2700,TAN7563
CZE7150,KRI8347
DNK7960,TAN7563
DJI2450,PAN4738
DMA9210,TAN7563
DOM4880,MYT2312
TLS8410,KRI8347
ECU5000,PUB7458
EGY1240,KRI8347
SLV8560,APH9348
GNQ2270,BOO8423
ERI9360,PAN4738
EST4370,BOO8423
ETH4070,PAN4738
FLK8580,BAM7523
FRO2370,TAN7563
FSM8180,BAM7523
FJI110,PAN4738
FIN7760,BOO8423
FRA7630,PUB7458
PYF6060,BAM7523
GAB8180,BOO8423
GEO3690,BOO8423
DEU9960,BOO8423
GHA4700,KRI8347
GBR4990,TAN7563
GRC6440,PUB7458
GRD1390,PUB7458
GRE6690,MYT2312
GUM4640,MYT2312
GUA3550,BAM7523
GUI6110,BOO8423
GUB2990,KRI8347
GUY5680,PUB7458
HAI3110,MYT2312
HON8010,TAN7563
HKG8780,BAM7523
HUN7360,APH9348
ICE5220,TAN7563
IND4160,TAN7563
INA9240,APH9348
IRN6240,KRI8347
IRQ4520,BAM7523
IRL5500,BAM7523
ISM9730,KRI8347
ISR9300,BAM7523
ITA6600,PAN4738
IVC9810,BOO8423
JAM9590,TAN7563
JPN6680,PAN4738
JOR9260,APH9348
KZH3400,BOO8423
KEY3760,APH9348
KIR1070,KRI8347
KOS1790,BAM7523
KUW4120,PAN4738
KYG6590,PAN4738
LAO2100,KRI8347
LAT2060,BOO8423
LEB3720,MYT2312
LES8190,PAN4738
LIB9040,KRI8347
LBY9400,BOO8423
LIE2280,MYT2312
LIT9840,PUB7458
LXB2240,KRI8347
MAU3960,PUB7458
MAC840,BAM7523
MAD6720,BOO8423
MAW3850,PAN4738
MYL6400,PAN4738
MDL7130,MYT2312
MAL5240,BOO8423
MAA5810,MYT2312
MAI7320,TAN7563
MAN40,KRI8347
MAU2730,APH9348
MEX2550,MYT2312
MOD5790,BAM7523
MOC2050,MYT2312
MON5040,MYT2312
MOG7540,PAN4738
MOR9440,PAN4738
MOZ5060,KRI8347
MYN8420,APH9348
NMB1890,BOO8423
NEP9580,PAN4738
NTR8080,BAM7523
NCA3030,KRI8347
NZL6480,BAM7523
NCG5670,PAN4738
NGR5290,MYT2312
NIG7880,MYT2312
PRK9900,KRI8347
NCY3630,KRI8347
NMI8920,PAN4738
NRW1520,TAN7563
OMN1880,TAN7563
PAK4360,PAN4738
PAU9210,BAM7523
PAT280,PUB7458
PAN7480,APH9348
PNG7940,APH9348
PRG430,APH9348
PER4280,MYT2312
PHP6810,MYT2312
POL1590,PAN4738
PTR1340,PAN4738
PRO2150,PUB7458
QTR6290,APH9348
ROM2850,BAM7523
RUS3350,MYT2312
RWN2380,BOO8423
SKN2890,APH9348
SLU2920,TAN7563
SAM1440,APH9348
SMA6820,PAN4738
STP5690,BOO8423
SAU2610,BOO8423
SEN1170,PAN4738
SER810,BOO8423
SYC4250,APH9348
SLE6770,KRI8347
SGP6260,APH9348
SLO6140,MYT2312
SLO3580,PAN4738
SOS1000,BOO8423
SOM9940,TAN7563
SOI5780,PUB7458
ZSA2900,PUB7458
SGI510,PUB7458
KOR5930,PUB7458
SSU3120,BAM7523
ESP3550,BAM7523
SRL4120,PAN4738
SUD9690,BAM7523
SUR3550,PAN4738
SWZ4330,APH9348
SWE3380,PUB7458
SWI2840,APH9348
SYR6060,PAN4738
TWN2370,TAN7563
TAJ2170,PUB7458
TAN7830,PUB7458
