GUI-100,Mali,Beyla,Sleeper Class,883
GUI-104,Mali,Gueckedou,Sleeper Class,1277
GUI-108,Mali,Dinguiraye,Sleeper Class,1293
GUI-112,Mali,Dabola,Economy Class,886
GUI-116,Mali,Kerouane,Sleeper Class,1149
GUI-120,Mali,Siguiri,Sleeper Class,862
GUI-124,Mali,Mamou,Sleeper Class,1190
GUI-128,Mali,Kamsar,Sleeper Class,1263
GUI-132,Mali,Fria,Economy Class,1040
GUI-136,Mali,Macenta,Sleeper Class,672
GUI-140,Mali,Yomou,AC Class,711
GUI-144,Mali,Faranah,Economy Class,1067
GUI-148,Mali,Kissidougou,AC Class,1282
GUI-152,Mali,Labe,Sleeper Class,1362
GUI-156,Mali,Boke,Sleeper Class,567
GUI-160,Mali,Kindia,Economy Class,1429
GUI-164,Mali,Kankan,Economy Class,522
GUI-168,Mali,Nzerekore,Economy Class,569
GUI-172,Mali,Conakry,Sleeper Class,893
GUB-176,Cacheu,Farim,Sleeper Class,511
GUB-180,Cacheu,Fulacunda,Economy Class,729
GUB-184,Cacheu,Gabu,AC Class,921
GUB-188,Cacheu,Catio,Sleeper Class,1284
GUB-192,Cacheu,Bolama,AC Class,698
GUB-196,Cacheu,Bafata,Economy Class,815
GUB-200,Cacheu,Bissau,Sleeper Class,913
GUY-204,Corriverton,Ituni,AC Class,591
GUY-208,Corriverton,Lethem,Economy Class,1456
GUY-212,Corriverton,Kumaka,AC Class,1362
GUY-216,Corriverton,Bartica,Sleeper Class,1496
GUY-220,Corriverton,Anna Regina,Economy Class,805
GUY-224,Corriverton,Linden,Economy Class,584
GUY-228,Corriverton,Mabaruma,AC Class,836
GUY-232,Corriverton,New Amsterdam,Economy Class,1346
GUY-236,Corriverton,Georgetown,AC Class,813
HAI-240,Jeremie,Port-De-Paix,Economy Class,624
HAI-244,Jeremie,Hinche,Economy Class,1082
HAI-248,Jeremie,Fort-Liberte,Economy Class,1314
HAI-252,Jeremie,Jacmel,AC Class,934
HAI-256,Jeremie,Les Cayes,AC Class,543
HAI-260,Jeremie,Gonaives,Economy Class,587
HAI-264,Jeremie,Cap-Haitien,AC Class,776
HAI-268,Jeremie,Port-au-Prince,Economy Class,1288
HON-272,Yoro,La Esperanza,AC Class,903
HON-276,Yoro,La Paz,Sleeper Class,1254
HON-280,Yoro,Santa Barbara,Economy Class,1432
HON-284,Yoro,Gracias,Economy Class,1176
HON-288,Yoro,Nueva Ocotepeque,Sleeper Class,1239
HON-292,Yoro,Yuscaran,Economy Class,726
HON-296,Yoro,Roatan,AC Class,594
HON-300,Yoro,Nacaome,Sleeper Class,1295
HON-304,Yoro,Santa Rosa de Copan,Sleeper Class,934
HON-308,Yoro,Trujillo,Economy Class,967
HON-312,Yoro,Brus Laguna,AC Class,597
HON-316,Yoro,Puerto Lempira,Economy Class,817
HON-320,Yoro,Juticalpa,AC Class,1152
HON-324,Yoro,Comayagua,AC Class,801
HON-328,Yoro,Choluteca,Sleeper Class,786
HON-332,Yoro,La Ceiba,AC Class,1365
HON-336,Yoro,San Pedro Sula,AC Class,944
HON-340,Yoro,Tegucigalpa,Economy Class,940
HUN-344,Veszprem,Zalaegerszeg,Sleeper Class,531
HUN-348,Veszprem,Tatabanya,AC Class,597
HUN-352,Veszprem,Szekszard,AC Class,981
HUN-356,Veszprem,Salgotarjan,Sleeper Class,1209
HUN-360,Veszprem,Bekescsaba,Sleeper Class,1067
HUN-364,Veszprem,Eger,Economy Class,997
HUN-368,Veszprem,Szombathely,AC Class,1086
HUN-372,Veszprem,Kecskemet,AC Class,806
HUN-376,Veszprem,Szekesfehervar,AC Class,719
HUN-380,Veszprem,Nyiregyhaza,Economy Class,1028
HUN-384,Veszprem,Pecs,AC Class,1232
HUN-388,Veszprem,Gyor,AC Class,1003
HUN-392,Veszprem,Kaposvar,Economy Class,770
HUN-396,Veszprem,Vac,AC Class,1208
HUN-400,Veszprem,Miskolc,Economy Class,840
HUN-404,Veszprem,Szeged,AC Class,1296
HUN-408,Veszprem,Debrecen,Sleeper Class,1118
HUN-412,Veszprem,Szolnok,Economy Class,1346
HUN-416,Veszprem,Budapest,AC Class,1421
ICE-420,Borgarnes,Egilsstadir,Sleeper Class,879
ICE-424,Borgarnes,Saudarkrokur,AC Class,1264
ICE-428,Borgarnes,Selfoss,AC Class,1341
ICE-432,Borgarnes,Hofn,Sleeper Class,693
ICE-436,Borgarnes,Isafjordur,Sleeper Class,534
ICE-440,Borgarnes,Akureyi,Sleeper Class,624
ICE-444,Borgarnes,Keflavik,AC Class,1487
ICE-448,Borgarnes,Reykjavik,Economy Class,1243
IND-452,Panaji,Simla,Sleeper Class,727
IND-456,Panaji,Gurgaon,Sleeper Class,1359
IND-460,Panaji,Sonipat,AC Class,932
IND-464,Panaji,Rohtak,Sleeper Class,937
IND-468,Panaji,Hisar,AC Class,775
IND-472,Panaji,Bhiwani,Sleeper Class,974
IND-476,Panaji,Ambala,Sleeper Class,1358
IND-480,Panaji,Sopur,Sleeper Class,529
IND-484,Panaji,Silvassa,Sleeper Class,735
IND-488,Panaji,Kalyan,AC Class,1318
IND-492,Panaji,Bhusawal,Economy Class,643
IND-496,Panaji,Jorhat,Economy Class,1428
IND-500,Panaji,Hoshiarpur,Sleeper Class,1276
IND-504,Panaji,Ajmer,Sleeper Class,943
IND-508,Panaji,Hathras,AC Class,1113
