1848931,Zum Gruenen Wald,61732011,http://www.zum-gruenen-wald.com/de/index.pmode,"European, French, Mediterranean, Wine Bar",Mariehamn
1893511,Trattoria la Grappa,03691 733860,,Italian,Kruje
6691488,Neu Kong Fondue Restaurant,6151 5003718,,Asian,Jijel
2006599,"Leons italienisches Restaurant
- CLOSED",069 24247828,http://www.leons-isoletta.de/,Italian,Pago Pago
2543213,Wolfgangs,069/94 50 70 50,,Diner,Andorra
6672721,Il Brigantino da Francesco,+(49)061814299152,http://www.il-brigantino.de,"Italian, Pizza & Pasta",Mucusso
3255281,Land & Leute,05622 4325,http://www.land-leute-fritzlar.de,Eclectic,de Noviembre
3536651,Donerhaus Dest,,,Turkish,Ashtarak
3928143,Tijol,+49 6223 8014460,http://www.mio-limoncello.de,"Seafood, Steakhouse",Oranjestad
2164303,Zur Ziegelhuette,06126-9527146,http://www.ziegelhuette-idstein.de,German,Central Coast
2090789,Pizza Hut,+49(0)69 281845,http://www.pizzahut.de/,"Pizza, Fast food",Bregenz
4459747,Kaffeemanufaktur Hirschhorn GmbH & Co KG,+(49)62725130479,http://www.kaffeemanufaktur-hirschhorn.de,"Ice cream, Café, Bistro",Gadabay
1341969,Ginnheimer Wirtshaus,+49 69 95524000,http://www.ginnheimer-wirtshaus.de/,Brew Pub,Manama
1873242,Little Tokyo,+49 0661 2509600,http://www.little-tokyo.de,Japanese,Tangail
3692239,Muckenwirt,Website,http://www.mueckenwirt.de,German,Bridgetown
3673192,Drays Brauhaus Lorsch,06251 9892234,,"Bakery, Café, German",Baranavichy
2692853,Trattoria Promis,069 61995150,http://www.promis-trattoria.de/,Italian,Mons
2399162,Yam Yam,,,Asian,El Cayo
1989750,Hooters American Sports Bar,Website,http://www.frankfurt-hooters.de/,"American, Fast food",Lokossa
1898870,Buen Gusto,+49 0611 2043955,http://www.buongusto-wiesbaden.de,Italian,Hamilton
1822769,Leib & Seele,069 –28 15 29,http://leibundseele-frankfurt.de/,Contemporary,Paro
4593808,Langenschwalbacher Schlemmer & Kultur Station,+49 6124 2572,http://alter-bahnhof-swa.de/,German,Punata
4735649,Hellas Griechisches Restaurant,0340 8705626,,Greek,Zenica
4228456,Saftbar,,,Healthy,Mochudi
2189381,Zum Bembelsche,+49 (0) 6142 92 92 92,http://www.zum-bembelsche.de/,German,Grajau
4926933,Ratsschanke Wetzlar,644146176,http://www.ratsschaenke-wetzlar.de,German,Bandar Seri Begawan
5106776,Michel's Restaurant,6062 3559,http://www.michels-restaurant.de,German,Lovec
5005182,El-Rayyan,497000000000,http://www.jumeirah.com/en/,Lebanese,Fada Ngourma
3492459,Astheimer Schlosschen,,,German,Cankuzo
3821783,Weiberwirtschaft,Website,http://weiberwirtschaft-eltville.jimdo.com/,German,Kampong Spoe
1906285,Gutsschanke Schloss Johannisberg,672270090,http://www.schloss-johannisberg.de,Winery,Buea
4550516,Pizzeria Amalfi,,,Italian,Selkirk
3491596,"Restaurant-Konoba ""Zum Ritter""",+49 561 104350,http://www.zumritter-kassel.de,"Mediterranean, Croatian",Mindelo
3845643,Tong-Tong,Website,http://www.tongtong-braunfels.de/,Chinese,George Town
1884434,Coffee Fellows,+49 069 21089787,http://www.coffee-fellows.de/locations/,Café,Mobaye
1966471,Ristorante Roma,+49(0)6023 9182696,,Italian,Lai
4466493,Bistro 1904 am Hotel Kurfurst Wilhelm I.,4956131870,,German,Rio Verde
2313874,Muller Bistro,06190 74147,http://www.mueller-bistro.de,Spanish,Yumen
6579429,Haller Ranch,615156224,,German,Yopal
959392,Doener Kebap,069-288151,,"Turkish, Fast food",Moroni
5488760,Fratelli Pizza Pasta Bar,562000000000,,Pizza & Pasta,Madingou
1163601,Pizzeria Party,06102/39856,,Pizza & Pasta,Buluko
3511656,Bayram Kebab House,+49 69 24249774,,"Turkish, Taiwanese",Rarotonga
6414893,Rag Bar,,,Vegan,Heredia
1341964,Alte Zollwache,+49 69 3088035,http://www.alte-zollwache.de/,German,Sibenik
3974985,Starbucks,69 13385291,,Café,Ciego de Avila
4183358,Bockenheimer Stubb,069 774477,,Gastropub,Willemstad
6383535,Landhaus Furstengarten,06044-961730,http://www.landhaus-fuerstengarten.de,International,Larnaka
2410350,Pfefferkorn,Website,http://www.pfefferkorn-essen.de/,German,Usti Nad Labem
6639178,Tajinerie,06151 711981,https://www.facebook.com/Tajinerie,"Mediterranean, Moroccan",Vejle
3434921,Berghotel Hexentanzplatz,,,German,Dikhil
3983068,Papanova,Website,http://www.papanova.de,Italian,Roseau
3970879,Qbar,6348983613,,Pub,Sabaneta
2527586,Ristorante Pizzeria Pierrot da Pino,0049 6462 915001,,Italian,Dili
1464665,Adel.es Restaurant,06631-705833,http://www.adeles.de/index2.html,European,Puyo
2351479,Kaffe Haus Madlen,030 9447163,,Café,Shibin el Kom
3163232,China Restaurant Kaiser,Website,http://www.chinarestaurant-kaiser.de,Chinese,Ahuachapan
4926708,Ristorante l'Aperitivo. Win bar coffe bar lounge bar pizzeria,+(49)1749813659,http://www.laperitivo.net,"Italian, Pizza & Pasta, Gastropub, Winery, Chowder",Evinayong
4994422,Alex Skyline Plaza,69 76807090,https://www.dein-alex.de/dein-alex-frankfurt-skyline-plaza,Contemporary,Tessenei
2302976,Restaurant Memory,0345-13252009,,"Bakery, Café, Delicatessen, German",Haapsalu
3431495,Gasthof Altes Casino Restaurant,Website,http://www.gasthof-casino.de/restaurant-fulda.html,"German, Steakhouse, Vegetarian, International",Awasa
2054574,Sandwicher,+49(0)69 71034067,http://www.sandwicher.de/,"Fast food, Sandwiches",Fox Bay
984149,"Coco
- CLOSED",+49 69 / 92034786,http://coco-restaurant.com,Korean,Klaksvik
1355744,Hexenkessel,+49 6252 3059391,http://www.derhexenkessel.de,Bar,Palikir
3193232,Rhodos,,,Greek,Nandi
2481332,Rottger,02664 99360,http://www.hotel-roettger.de,German,Hameenlinna
897077,Lesecafe,069/621428,,Café,Annecy
1803549,La Galleria,561.35306,http://lagalleria-kassel.de/,Italian,Papeete
2721898,Taverne Kavala,06172 29859,http://taverne-kavala.de/Anfahrtskizze.htm,Greek,Ebebiyin
1627976,Miro's,+49 6174 998342,http://www.miros-ristorante.de/,"Italian, Mediterranean, International",Kutaisi
4895356,Bella Mia,03443 336533,http://www.bellamia-casa.de,Italian,Mainz
3675016,Wein Zeit,06721 3098992,http://www.vinothek-bingen.de/,German,Sunyani
5888172,Restaurant Ganesha,+49 69 97696945,http://www.ganesha-frankfurt.de,"Indian, Vegan, Vegetarian",Gibraltar
6662925,Hotel Rheinstein,06722-2004,,German,Lamia
3619102,Spektrum,69 74 25 85,http://www.spektrum-vinebar.de,Italian,Qasigiannguit
3525760,Marktstube,06221 183852,,European,Saint George's
2195982,Zum Grauen Bock,+49(0)69 618026,http://www.zumgrauenbock.de/,German,Agana
3915252,Gruner Baum,06201 4883732,,German,Salama
2614475,Hotel Adler,06152 809-0,,International,Mali
715328,Gargantua,069-720-718,http://gargantua.de,"European, French, German, Mediterranean",Cacheu
