1004,Mariehamn,Afghanistan
1008,Kruje,Aland
1012,Jijel,Albania
1016,Pago Pago,Algeria
1020,Andorra,American Samoa
1024,Mucusso,Andorra
1028,de Noviembre,Angola
1032,Ashtarak,Argentina
1036,Oranjestad,Armenia
1040,Central Coast,Aruba
1044,Bregenz,Australia
1048,Gadabay,Austria
1052,Manama,Azerbaijan
1056,Tangail,Bahrain
1060,Bridgetown,Bangladesh
1064,Baranavichy,Barbados
1068,Mons,Belarus
1072,El Cayo,Belgium
1076,Lokossa,Belize
1080,Hamilton,Benin
1084,Paro,Bermuda
1088,Punata,Bhutan
1092,Zenica,Bolivia
1096,Mochudi,Bosnia and Herzegovina
1100,Grajau,Botswana
1104,Bandar Seri Begawan,Brazil
1108,Lovec,Brunei
1112,Fada Ngourma,Bulgaria
1116,Cankuzo,Burkina Faso
1120,Kampong Spoe,Burundi
1124,Buea,Cambodia
1128,Selkirk,Cameroon
1132,Mindelo,Canada
1136,George Town,Cape Verde
1140,Mobaye,Cayman Islands
1144,Lai,Central African Republic
1148,Rio Verde,Chad
1152,-),Chile
1156,-),China
1160,Moroni,Colombia
1164,Madingou,Comoros
1168,Buluko,Congo (Brazzaville)
1172,Rarotonga,Congo (Kinshasa)
1176,Heredia,Cook Islands
1180,Sibenik,Costa Rica
1184,Ciego de Avila,Croatia
1188,Willemstad,Cuba
1192,Larnaka,Curacao
1196,Usti Nad Labem,Cyprus
1200,Vejle,Czech Republic
1204,Dikhil,Denmark
1208,Roseau,Djibouti
1212,Sabaneta,Dominica
1216,Dili,Dominican Republic
1220,Puyo,East Timor
1224,Shibin el Kom,Ecuador
1228,Ahuachapan,Egypt
1232,Evinayong,El Salvador
1236,Tessenei,Equatorial Guinea
1240,Haapsalu,Eritrea
1244,Awasa,Estonia
1248,Fox Bay,Ethiopia
1252,Klaksvik,Falkland Islands
1256,Palikir,Faroe Islands
1260,Nandi,Federated States of Micronesia
1264,Hameenlinna,Fiji
1268,Annecy,Finland
1272,Papeete,France
1276,Ebebiyin,French Polynesia
1280,Kutaisi,Gabon
1284,Mainz,Georgia
1288,Sunyani,Germany
1292,Gibraltar,Ghana
1296,Lamia,Gibraltar
1300,Qasigiannguit,Greece
1304,Saint George's,Greenland
1308,Agana,Grenada
1312,Salama,Guam
1316,Mali,Guatemala
1320,Cacheu,Guinea
1324,Corriverton,Guinea Bissau
1328,Jeremie,Guyana
1332,Yoro,Haiti
1336,Hong Kong,Honduras
1340,Veszprem,Hong Kong S.A.R.
1344,Borgarnes,Hungary
1348,Panaji,Iceland
1352,Binjai,India
1356,Yasuj,Indonesia
1360,Dahuk,Iran
1364,Ros Comain,Iraq
1368,Douglas,Ireland
1372,Ramla,Isle of Man
1376,Potenza,Israel
1380,Touba,Italy
1384,Lucea,Ivory Coast
1388,Okayama,Jamaica
1392,Al Mafraq,Japan
1396,Turgay,Jordan
1400,Nyeri,Kazakhstan
1404,Tarawa,Kenya
1408,Prizren,Kiribati
1412,Hawalli,Kosovo
1416,Tokmak,Kuwait
1420,Ban Houayxay,Kyrgyzstan
1424,Rezekne,Laos
1428,B'abda,Latvia
1432,Teyateyaneng,Lebanon
1436,Barclayville,Lesotho
1440,Dirj,Liberia
1444,Vaduz,Libya
1448,Panevezys,Liechtenstein
1452,Diekirch,Lithuania
1456,Macau,Luxembourg
1460,Tetovo,Macau S.A.R
1464,Sambava,Macedonia
1468,Mzimba,Madagascar
1472,Kangar,Malawi
1476,Male,Malaysia
1480,Goundam,Maldives
1484,Valletta,Mali
1488,Majuro,Malta
1492,Fderik,Marshall Islands
1496,Curepipe,Mauritania
1500,Vicente Guerrero,Mauritius
1504,Dubasari,Mexico
1508,Monaco,Moldova
1512,Suchboatar,Monaco
1516,Podgorica,Mongolia
1520,Ksar El Kebir,Montenegro
1524,Moatize,Morocco
1528,Loikaw,Mozambique
1532,Omaruru,Myanmar
1536,Sallyan,Namibia
1540,Assen,Nepal
1544,Noumea,Netherlands
1548,Greymouth,New Caledonia
1552,Somoto,New Zealand
1556,Goure,Nicaragua
1560,Umuahia,Niger
1564,Sariwon,Nigeria
1568,Kyrenia,North Korea
1572,Capitol Hill,Northern Cyprus
1576,Arendal,Northern Mariana Islands
1580,Alayat Samail,Norway
1584,Parachinar,Oman
1588,Koror,Pakistan
1592,Ramallah,Palau
