GUI-100,Mali,Beyla,Train,Sleeper Class,883
GUI-104,Mali,Gueckedou,Train,Sleeper Class,1277
GUI-108,Mali,Dinguiraye,Train,Sleeper Class,1293
GUI-112,Mali,Dabola,Train,Economy Class,886
GUI-116,Mali,Kerouane,Train,Sleeper Class,1149
GUI-120,Mali,Siguiri,Train,Sleeper Class,862
GUI-124,Mali,Mamou,Train,Sleeper Class,1190
GUI-128,Mali,Kamsar,Train,Sleeper Class,1263
GUI-132,Mali,Fria,Train,Economy Class,1040
GUI-136,Mali,Macenta,Train,Sleeper Class,672
GUI-140,Mali,Yomou,Train,AC Class,711
GUI-144,Mali,Faranah,Train,Economy Class,1067
GUI-148,Mali,Kissidougou,Train,AC Class,1282
GUI-152,Mali,Labe,Train,Sleeper Class,1362
GUI-156,Mali,Boke,Train,Sleeper Class,567
GUI-160,Mali,Kindia,Train,Economy Class,1429
GUI-164,Mali,Kankan,Train,Economy Class,522
GUI-168,Mali,Nzerekore,Train,Economy Class,569
GUI-172,Mali,Conakry,Train,Sleeper Class,893
GUB-176,Cacheu,Farim,Train,Sleeper Class,511
GUB-180,Cacheu,Fulacunda,Train,Economy Class,729
GUB-184,Cacheu,Gabu,Train,AC Class,921
GUB-188,Cacheu,Catio,Train,Sleeper Class,1284
GUB-192,Cacheu,Bolama,Train,AC Class,698
GUB-196,Cacheu,Bafata,Train,Economy Class,815
GUB-200,Cacheu,Bissau,Train,Sleeper Class,913
GUY-204,Corriverton,Ituni,Train,AC Class,591
GUY-208,Corriverton,Lethem,Train,Economy Class,1456
GUY-212,Corriverton,Kumaka,Train,AC Class,1362
GUY-216,Corriverton,Bartica,Train,Sleeper Class,1496
GUY-220,Corriverton,Anna Regina,Train,Economy Class,805
GUY-224,Corriverton,Linden,Train,Economy Class,584
GUY-228,Corriverton,Mabaruma,Train,AC Class,836
GUY-232,Corriverton,New Amsterdam,Train,Economy Class,1346
GUY-236,Corriverton,Georgetown,Train,AC Class,813
HAI-240,Jeremie,Port-De-Paix,Train,Economy Class,624
HAI-244,Jeremie,Hinche,Train,Economy Class,1082
HAI-248,Jeremie,Fort-Liberte,Train,Economy Class,1314
HAI-252,Jeremie,Jacmel,Train,AC Class,934
HAI-256,Jeremie,Les Cayes,Train,AC Class,543
HAI-260,Jeremie,Gonaives,Train,Economy Class,587
HAI-264,Jeremie,Cap-Haitien,Train,AC Class,776
HAI-268,Jeremie,Port-au-Prince,Train,Economy Class,1288
HON-272,Yoro,La Esperanza,Train,AC Class,903
HON-276,Yoro,La Paz,Train,Sleeper Class,1254
HON-280,Yoro,Santa Barbara,Train,Economy Class,1432
HON-284,Yoro,Gracias,Train,Economy Class,1176
HON-288,Yoro,Nueva Ocotepeque,Train,Sleeper Class,1239
HON-292,Yoro,Yuscaran,Train,Economy Class,726
HON-296,Yoro,Roatan,Train,AC Class,594
HON-300,Yoro,Nacaome,Train,Sleeper Class,1295
HON-304,Yoro,Santa Rosa de Copan,Train,Sleeper Class,934
HON-308,Yoro,Trujillo,Train,Economy Class,967
HON-312,Yoro,Brus Laguna,Train,AC Class,597
HON-316,Yoro,Puerto Lempira,Train,Economy Class,817
HON-320,Yoro,Juticalpa,Train,AC Class,1152
HON-324,Yoro,Comayagua,Train,AC Class,801
HON-328,Yoro,Choluteca,Train,Sleeper Class,786
HON-332,Yoro,La Ceiba,Train,AC Class,1365
HON-336,Yoro,San Pedro Sula,Train,AC Class,944
HON-340,Yoro,Tegucigalpa,Train,Economy Class,940
HUN-344,Veszprem,Zalaegerszeg,Train,Sleeper Class,531
HUN-348,Veszprem,Tatabanya,Train,AC Class,597
HUN-352,Veszprem,Szekszard,Train,AC Class,981
HUN-356,Veszprem,Salgotarjan,Train,Sleeper Class,1209
HUN-360,Veszprem,Bekescsaba,Train,Sleeper Class,1067
HUN-364,Veszprem,Eger,Train,Economy Class,997
HUN-368,Veszprem,Szombathely,Train,AC Class,1086
HUN-372,Veszprem,Kecskemet,Train,AC Class,806
HUN-376,Veszprem,Szekesfehervar,Train,AC Class,719
HUN-380,Veszprem,Nyiregyhaza,Train,Economy Class,1028
HUN-384,Veszprem,Pecs,Train,AC Class,1232
HUN-388,Veszprem,Gyor,Train,AC Class,1003
HUN-392,Veszprem,Kaposvar,Train,Economy Class,770
HUN-396,Veszprem,Vac,Train,AC Class,1208
HUN-400,Veszprem,Miskolc,Train,Economy Class,840
HUN-404,Veszprem,Szeged,Train,AC Class,1296
HUN-408,Veszprem,Debrecen,Train,Sleeper Class,1118
HUN-412,Veszprem,Szolnok,Train,Economy Class,1346
HUN-416,Veszprem,Budapest,Train,AC Class,1421
ICE-420,Borgarnes,Egilsstadir,Train,Sleeper Class,879
ICE-424,Borgarnes,Saudarkrokur,Train,AC Class,1264
ICE-428,Borgarnes,Selfoss,Train,AC Class,1341
ICE-432,Borgarnes,Hofn,Train,Sleeper Class,693
ICE-436,Borgarnes,Isafjordur,Train,Sleeper Class,534
ICE-440,Borgarnes,Akureyi,Train,Sleeper Class,624
ICE-444,Borgarnes,Keflavik,Train,AC Class,1487
ICE-448,Borgarnes,Reykjavik,Train,Economy Class,1243
IND-452,Panaji,Simla,Train,Sleeper Class,727
IND-456,Panaji,Gurgaon,Train,Sleeper Class,1359
IND-460,Panaji,Sonipat,Train,AC Class,932
IND-464,Panaji,Rohtak,Train,Sleeper Class,937
IND-468,Panaji,Hisar,Train,AC Class,775
IND-472,Panaji,Bhiwani,Train,Sleeper Class,974
IND-476,Panaji,Ambala,Train,Sleeper Class,1358
