GUI-101,Mali,Beyla,Bus,Sleeper Class,883
GUI-103,Mali,Gueckedou,Bus,Sleeper Class,1277
GUI-105,Mali,Dinguiraye,Bus,Sleeper Class,1293
GUI-107,Mali,Dabola,Bus,Economy Class,886
GUI-109,Mali,Kerouane,Bus,Sleeper Class,1149
GUI-111,Mali,Siguiri,Bus,Sleeper Class,862
GUI-113,Mali,Mamou,Bus,Sleeper Class,1190
GUI-115,Mali,Kamsar,Bus,Sleeper Class,1263
GUI-117,Mali,Fria,Bus,Economy Class,1040
GUI-119,Mali,Macenta,Bus,Sleeper Class,672
GUI-121,Mali,Yomou,Bus,AC Class,711
GUI-123,Mali,Faranah,Bus,Economy Class,1067
GUI-125,Mali,Kissidougou,Bus,AC Class,1282
GUI-127,Mali,Labe,Bus,Sleeper Class,1362
GUI-129,Mali,Boke,Bus,Sleeper Class,567
GUI-131,Mali,Kindia,Bus,Economy Class,1429
GUI-133,Mali,Kankan,Bus,Economy Class,522
GUI-135,Mali,Nzerekore,Bus,Economy Class,569
GUI-137,Mali,Conakry,Bus,Sleeper Class,893
GUB-139,Cacheu,Farim,Bus,Sleeper Class,511
GUB-141,Cacheu,Fulacunda,Bus,Economy Class,729
GUB-143,Cacheu,Gabu,Bus,AC Class,921
GUB-145,Cacheu,Catio,Bus,Sleeper Class,1284
GUB-147,Cacheu,Bolama,Bus,AC Class,698
GUB-149,Cacheu,Bafata,Bus,Economy Class,815
GUB-151,Cacheu,Bissau,Bus,Sleeper Class,913
GUY-153,Corriverton,Ituni,Bus,AC Class,591
GUY-155,Corriverton,Lethem,Bus,Economy Class,1456
GUY-157,Corriverton,Kumaka,Bus,AC Class,1362
GUY-159,Corriverton,Bartica,Bus,Sleeper Class,1496
GUY-161,Corriverton,Anna Regina,Bus,Economy Class,805
GUY-163,Corriverton,Linden,Bus,Economy Class,584
GUY-165,Corriverton,Mabaruma,Bus,AC Class,836
GUY-167,Corriverton,New Amsterdam,Bus,Economy Class,1346
GUY-169,Corriverton,Georgetown,Bus,AC Class,813
HAI-171,Jeremie,Port-De-Paix,Bus,Economy Class,624
HAI-173,Jeremie,Hinche,Bus,Economy Class,1082
HAI-175,Jeremie,Fort-Liberte,Bus,Economy Class,1314
HAI-177,Jeremie,Jacmel,Bus,AC Class,934
HAI-179,Jeremie,Les Cayes,Bus,AC Class,543
HAI-181,Jeremie,Gonaives,Bus,Economy Class,587
HAI-183,Jeremie,Cap-Haitien,Bus,AC Class,776
HAI-185,Jeremie,Port-au-Prince,Bus,Economy Class,1288
HON-187,Yoro,La Esperanza,Bus,AC Class,903
HON-189,Yoro,La Paz,Bus,Sleeper Class,1254
HON-191,Yoro,Santa Barbara,Bus,Economy Class,1432
HON-193,Yoro,Gracias,Bus,Economy Class,1176
HON-195,Yoro,Nueva Ocotepeque,Bus,Sleeper Class,1239
HON-197,Yoro,Yuscaran,Bus,Economy Class,726
HON-199,Yoro,Roatan,Bus,AC Class,594
HON-201,Yoro,Nacaome,Bus,Sleeper Class,1295
HON-203,Yoro,Santa Rosa de Copan,Bus,Sleeper Class,934
HON-205,Yoro,Trujillo,Bus,Economy Class,967
HON-207,Yoro,Brus Laguna,Bus,AC Class,597
HON-209,Yoro,Puerto Lempira,Bus,Economy Class,817
HON-211,Yoro,Juticalpa,Bus,AC Class,1152
HON-213,Yoro,Comayagua,Bus,AC Class,801
HON-215,Yoro,Choluteca,Bus,Sleeper Class,786
HON-217,Yoro,La Ceiba,Bus,AC Class,1365
HON-219,Yoro,San Pedro Sula,Bus,AC Class,944
HON-221,Yoro,Tegucigalpa,Bus,Economy Class,940
HUN-223,Veszprem,Zalaegerszeg,Bus,Sleeper Class,531
HUN-225,Veszprem,Tatabanya,Bus,AC Class,597
HUN-227,Veszprem,Szekszard,Bus,AC Class,981
HUN-229,Veszprem,Salgotarjan,Bus,Sleeper Class,1209
HUN-231,Veszprem,Bekescsaba,Bus,Sleeper Class,1067
HUN-233,Veszprem,Eger,Bus,Economy Class,997
HUN-235,Veszprem,Szombathely,Bus,AC Class,1086
HUN-237,Veszprem,Kecskemet,Bus,AC Class,806
HUN-239,Veszprem,Szekesfehervar,Bus,AC Class,719
HUN-241,Veszprem,Nyiregyhaza,Bus,Economy Class,1028
HUN-243,Veszprem,Pecs,Bus,AC Class,1232
HUN-245,Veszprem,Gyor,Bus,AC Class,1003
HUN-247,Veszprem,Kaposvar,Bus,Economy Class,770
HUN-249,Veszprem,Vac,Bus,AC Class,1208
HUN-251,Veszprem,Miskolc,Bus,Economy Class,840
HUN-253,Veszprem,Szeged,Bus,AC Class,1296
HUN-255,Veszprem,Debrecen,Bus,Sleeper Class,1118
HUN-257,Veszprem,Szolnok,Bus,Economy Class,1346
HUN-259,Veszprem,Budapest,Bus,AC Class,1421
